"","PSS","CESD","TraitAnxiety","PANAS_Neg","PANAS_Pos","SWLS","PGIS","NFCS","Extraversion","Agreeableness","Conscientiousness","Openness","Neuroticism"
"PSS",1,0.73,0.69,0.53,-0.14,-0.42,-0.36,-0.14,-0.17,-0.25,-0.21,-0.16,0.59
"CESD",0.73,1,0.76,0.55,-0.07,-0.48,-0.41,-0.1,-0.27,-0.33,-0.3,-0.06,0.6
"TraitAnxiety",0.69,0.76,1,0.49,-0.23,-0.6,-0.49,-0.11,-0.35,-0.36,-0.37,-0.15,0.75
"PANAS_Neg",0.53,0.55,0.49,1,0.14,-0.21,-0.23,-0.17,-0.07,-0.22,-0.11,-0.14,0.44
"PANAS_Pos",-0.14,-0.07,-0.23,0.14,1,0.14,0.25,0.09,0.18,0.18,0.28,0.15,-0.15
"SWLS",-0.42,-0.48,-0.6,-0.21,0.14,1,0.47,-0.04,0.25,0.22,0.27,0.1,-0.38
"PGIS",-0.36,-0.41,-0.49,-0.23,0.25,0.47,1,0.22,0.39,0.27,0.47,0.3,-0.34
"NFCS",-0.14,-0.1,-0.11,-0.17,0.09,-0.04,0.22,1,0.05,0.04,0.26,0.48,-0.08
"Extraversion",-0.17,-0.27,-0.35,-0.07,0.18,0.25,0.39,0.05,1,0.16,0.27,0.17,-0.24
"Agreeableness",-0.25,-0.33,-0.36,-0.22,0.18,0.22,0.27,0.04,0.16,1,0.32,0.12,-0.31
"Conscientiousness",-0.21,-0.3,-0.37,-0.11,0.28,0.27,0.47,0.26,0.27,0.32,1,0.12,-0.29
"Openness",-0.16,-0.06,-0.15,-0.14,0.15,0.1,0.3,0.48,0.17,0.12,0.12,1,-0.08
"Neuroticism",0.59,0.6,0.75,0.44,-0.15,-0.38,-0.34,-0.08,-0.24,-0.31,-0.29,-0.08,1
